/home/shenli/Dropbox/SECON2013/data/coor.txt, 1000000
0.40079000000000065, 0.40050999999999704: 3.825170000000083E-5
0.40070999999999657, 0.4005200000000002: 3.9499000000025854E-5
0.4006299999999996, 0.4005300000000034: 3.991320000001524E-5
0.4005500000000026, 0.4005300000000034: 4.0313200000000094E-5
0.40046999999999855, 0.40054000000000656: 4.076240000003607E-5
0.4003799999999984, 0.4005499999999955: 4.1261499999982596E-5
0.40030000000000143, 0.4005300000000034: 4.166409999996705E-5
0.4002100000000013, 0.4005200000000002: 4.2118199999969025E-5
0.40012000000000114, 0.40050999999999704: 4.257399999997159E-5
0.40005000000000024, 0.4004599999999954: 4.2966099999977674E-5
0.3999600000000001, 0.4004900000000049: 4.341819999997909E-5
0.39990000000000236, 0.40050999999999704: 4.3721399999966496E-5
0.39983000000000146, 0.4005200000000002: 4.4074499999971987E-5
0.39976999999999663, 0.4005300000000034: 4.4379199999997645E-5
0.3997499999999974, 0.40046999999999855: 4.449049999999499E-5
0.39979999999999905, 0.4004199999999969: 4.4618600000017496E-5
0.39979999999999905, 0.4004199999999969: 4.4618600000017496E-5
0.399790000000003, 0.40046999999999855: 4.4618600000017496E-5
0.3997799999999998, 0.4004900000000049: 4.4618600000017496E-5
0.3997799999999998, 0.40049999999999386: 4.4618600000017496E-5
0.3997799999999998, 0.40050999999999704: 4.4618600000017496E-5
0.3997799999999998, 0.4005200000000002: 4.4618600000017496E-5
0.3997799999999998, 0.4005200000000002: 4.4618600000017496E-5
0.3997799999999998, 0.4005300000000034: 4.4618600000017496E-5
0.3997799999999998, 0.40054000000000656: 4.4624600000019387E-5
0.3997799999999998, 0.40054000000000656: 4.4624600000019387E-5
0.3997799999999998, 0.4005499999999955: 4.463060000001275E-5
0.3997799999999998, 0.4005499999999955: 4.463060000001275E-5
0.3997799999999998, 0.4005499999999955: 4.463060000001275E-5
0.399790000000003, 0.4005499999999955: 4.463060000001275E-5
0.399790000000003, 0.4005599999999987: 4.468060000002862E-5
0.399790000000003, 0.4005599999999987: 4.468060000002862E-5
